ImageId,TrueLabel,TargetClass
00000116_003,7,10
00000116_004,7,10
00000116_005,7,10
00000116_006,7,10
00000116_007,7,10
00000116_008,7,10
00000116_009,7,10
00000116_010,7,10
00000116_011,7,10
00000116_013,10,0
00000116_016,10,0
00000116_017,7,10
00000116_018,7,10
00000116_020,7,10
00000116_021,7,10
00000116_022,7,10
00000116_023,7,10
00000116_024,7,10
00000116_025,7,10
00000116_028,7,10
00000116_029,0,7
00000116_031,10,0
00000116_032,10,0
00000116_033,7,10
00000116_034,7,10
00000116_035,0,7
00000116_036,7,10
00000116_037,7,10
00000116_040,10,0
00000117_000,7,10
00000117_001,7,10
00000118_001,0,7
00000118_003,0,7
00000118_006,0,7
00000118_007,0,7
00000118_015,7,10
00000119_001,0,7
00000120_000,0,7
00000121_006,7,10
00000121_007,7,10
00000123_000,10,0
00000124_000,10,0
00000127_002,7,10
00000127_003,7,10
00000127_004,7,10
00000127_005,7,10
00000127_007,7,10
00000127_009,0,7
00000127_010,0,7
00000128_000,10,0
00000131_001,10,0
00000131_002,10,0
00000132_003,7,10
00000132_004,7,10
00000132_005,7,10
00000133_000,7,10
00000138_002,0,7
00000138_005,7,10
00000143_002,7,10
00000143_008,0,7
00000143_009,0,7
00000143_011,0,7
00000143_012,0,7
00000144_003,7,10
00000147_001,0,7
00000147_002,0,7
00000148_001,7,10
00000148_002,7,10
00000149_002,0,7
00000149_005,0,7
00000149_006,0,7
00000150_000,7,10
00000150_002,0,7
00000150_003,0,7
00000150_004,0,7
00000153_001,0,7
00000155_000,10,0
00000156_000,10,0
00000156_001,7,10
00000175_001,0,7
00000175_002,0,7
00000176_001,10,0
00000176_002,0,7
00000179_002,0,7
00000179_006,0,7
00000179_007,7,10
00000180_000,7,10
00000180_002,7,10
00000180_003,7,10
00000181_003,7,10
00000181_005,7,10
00000181_011,0,7
00000181_019,7,10
00000181_040,0,7
00000181_042,7,10
00000181_044,0,7
00000181_045,0,7
00000181_048,0,7
00000181_050,0,7
00000181_054,0,7
00000181_055,7,10
00000181_058,7,10
00000181_059,7,10
00000181_060,7,10
00000181_061,0,7
00000181_062,7,10
00000189_000,0,7
00000193_006,0,7
00000200_001,10,0
00000203_000,0,7
00000208_000,0,7
00000211_000,10,0
00000211_001,10,0
00000211_002,10,0
00000211_004,7,10
00000211_005,10,0
00000211_006,7,10
00000211_007,10,0
00000211_008,7,10
00000211_009,7,10
00000211_010,0,7
00000211_011,7,10
00000211_012,7,10
00000211_013,7,10
00000211_014,7,10
00000211_015,7,10
00000211_016,10,0
00000211_018,7,10
00000211_019,0,7
00000211_021,7,10
00000211_022,10,0
00000211_024,7,10
00000211_025,7,10
00000211_026,7,10
00000211_027,7,10
00000211_028,7,10
00000211_029,7,10
00000211_032,7,10
00000211_034,7,10
00000211_035,7,10
00000211_037,7,10
00000211_038,10,0
00000211_039,10,0
00000211_041,7,10
00000211_043,10,0
00000212_000,7,10
00000213_003,0,7
00000219_000,0,7
00000219_001,0,7
00000221_000,10,0
00000230_002,0,7
00000231_002,7,10
00000231_004,7,10
00000231_006,7,10
00000231_009,7,10
00000231_011,7,10
00000233_000,10,0
00000236_000,0,7
00000238_000,0,7
00000240_000,10,0
00000244_002,0,7
00000246_013,7,10
00000248_004,7,10
00000248_005,0,7
00000248_006,0,7
00000248_007,0,7
00000248_008,0,7
00000248_009,0,7
00000248_010,0,7
00000248_014,7,10
00000248_019,0,7
00000248_020,0,7
00000248_022,7,10
00000248_027,7,10
00000250_001,0,7
00000250_008,7,10
00000250_010,7,10
00000250_016,0,7
00000251_001,0,7
00000251_002,0,7
00000251_003,0,7
00000255_004,7,10
00000261_000,7,10
00000261_001,7,10
00000261_003,7,10
00000261_005,7,10
00000270_000,0,7
00000270_001,0,7
00000270_002,0,7
00000271_004,10,0
00000272_000,10,0
00000273_000,0,7
00000275_001,0,7
00000275_002,0,7
00000282_000,7,10
00000284_004,10,0
00000284_005,7,10
00000287_000,10,0
00000288_004,0,7
00000294_000,10,0
00000302_000,0,7
00000303_000,0,7
00000305_001,0,7
00000307_000,0,7
00000310_004,0,7
00000314_000,0,7
00000315_001,0,7
00000315_002,7,10
00000322_013,7,10
00000322_014,0,7
00000324_015,0,7
00000324_016,0,7
00000330_000,10,0
00000331_001,0,7
00000333_000,10,0
00000337_000,0,7
00000338_000,10,0
00000344_001,7,10
00000344_002,7,10
00000344_003,0,7
00000348_007,0,7
00000351_000,0,7
00000360_005,0,7
00000360_006,0,7
00000363_002,7,10
00000368_001,0,7
00000368_002,0,7
00000368_004,0,7
00000368_006,0,7
00000368_007,0,7
00000368_008,0,7
00000368_011,0,7
00000370_006,0,7
00000372_005,0,7
00000372_008,0,7
00000372_012,7,10
00000372_015,7,10
00000372_016,7,10
00000374_000,10,0
00000376_008,0,7
00000377_000,10,0
00000377_001,0,7
00000377_003,10,0
00000377_004,10,0
00000381_002,0,7
00000381_003,0,7
00000398_001,7,10
00000398_003,10,0
00000398_006,10,0
00000402_002,7,10
00000402_005,7,10
00000402_006,7,10
00000402_009,7,10
00000402_010,7,10
00000404_000,0,7
00000404_001,0,7
00000406_000,10,0
00000409_000,7,10
00000409_001,7,10
00000410_002,7,10
00000418_000,0,7
00000421_000,0,7
00000421_001,0,7
00000431_000,0,7
00000432_000,10,0
00000435_000,7,10
00000441_000,0,7
00000442_000,10,0
00000442_001,7,10
00000442_002,7,10
00000442_003,10,0
00000448_000,10,0
00000451_000,0,7
00000457_002,7,10
00000457_003,7,10
00000457_004,0,7
00000459_020,0,7
00000459_029,0,7
00000459_031,0,7
00000459_032,7,10
00000459_045,7,10
00000459_056,7,10
00000467_000,0,7
00000468_002,0,7
00000468_013,0,7
00000468_017,0,7
00000468_019,0,7
00000468_020,0,7
00000468_022,0,7
00000468_023,0,7
00000468_026,0,7
00000468_028,0,7
00000468_029,10,0
00000468_031,0,7
00000468_032,0,7
00000468_033,0,7
00000468_060,0,7
00000489_006,0,7
00000489_008,7,10
00000491_004,7,10
00000491_007,7,10
00000491_009,7,10
00000491_018,7,10
00000498_003,10,0
00000499_002,0,7
00000499_003,7,10
00000506_012,7,10
00000506_013,7,10
00000506_015,7,10
00000506_016,7,10
00000506_017,7,10
00000506_018,7,10
00000506_019,7,10
00000506_023,0,7
00000506_024,0,7
00000506_025,0,7
00000506_032,7,10
00000512_000,7,10
00000512_001,7,10
00000512_002,10,0
00000513_000,0,7
00000513_001,0,7
00000515_000,0,7
00000522_000,0,7
00000528_001,7,10
00000540_001,0,7
00000545_000,7,10
00000547_005,10,0
00000560_002,7,10
00000571_000,7,10
00000571_001,7,10
00000572_001,7,10
00000572_002,7,10
00000577_003,0,7
00000578_000,10,0
00000579_001,10,0
00000580_002,7,10
00000580_005,7,10
00000580_008,0,7
00000583_000,7,10
00000583_003,0,7
00000583_008,0,7
00000583_009,0,7
00000583_010,0,7
00000583_016,7,10
00000583_018,7,10
00000583_023,0,7
00000583_027,0,7
00000583_031,0,7
00000583_032,0,7
00000583_033,0,7
00000583_034,0,7
00000583_035,0,7
00000583_036,0,7
00000583_038,0,7
00000583_041,0,7
00000583_043,0,7
00000583_049,0,7
00000583_051,0,7
00000583_052,0,7
00000583_054,0,7
00000583_056,0,7
00000583_057,0,7
00000583_062,0,7
00000583_064,0,7
00000583_065,0,7
00000583_066,0,7
00000585_000,0,7
00000591_001,7,10
00000591_002,7,10
00000591_003,7,10
00000591_004,7,10
00000591_005,7,10
00000591_006,7,10
00000591_007,7,10
00000591_008,0,7
00000591_009,7,10
00000591_010,7,10
00000591_011,7,10
00000591_012,7,10
00000591_013,7,10
00000591_014,7,10
00000591_015,7,10
00000591_016,7,10
00000591_017,7,10
00000591_018,7,10
00000591_019,7,10
00000592_001,7,10
00000596_000,0,7
00000607_000,10,0
00000608_000,0,7
00000608_001,0,7
00000608_002,7,10
00000622_000,7,10
00000625_000,0,7
00000627_009,0,7
00000627_011,0,7
00000627_021,0,7
00000627_023,0,7
00000627_024,7,10
00000627_028,0,7
00000631_008,0,7
00000632_008,0,7
00000632_009,0,7
00000632_011,7,10
00000632_013,0,7
00000641_000,0,7
00000642_000,0,7
00000643_002,0,7
00000643_003,0,7
00000643_004,7,10
00000646_006,7,10
00000652_009,0,7
00000652_026,0,7
00000655_000,0,7
00000655_001,0,7
00000655_002,0,7
00000655_003,0,7
00000655_004,0,7
00000661_000,10,0
00000661_001,10,0
00000683_002,10,0
00000688_000,0,7
00000688_001,10,0
00000688_002,0,7
00000693_001,0,7
00000693_003,0,7
00000693_006,0,7
00000697_002,0,7
00000697_007,0,7
00000707_001,0,7
00000707_002,0,7
00000707_003,0,7
00000707_004,0,7
00000710_005,7,10
00000711_003,7,10
00000711_004,0,7
00000711_009,0,7
00000711_012,0,7
00000720_002,0,7
00000720_004,0,7
00000720_005,0,7
00000720_006,7,10
00000723_003,7,10
00000723_004,0,7
00000723_005,0,7
00000727_000,0,7
00000727_006,7,10
00000728_000,10,0
00000732_000,7,10
00000732_004,7,10
00000732_005,7,10
00000732_006,7,10
00000732_007,7,10
00000732_008,7,10
00000732_009,7,10
00000740_000,0,7
00000741_007,0,7
00000742_000,7,10
00000742_001,0,7
00000742_002,7,10
00000744_005,0,7
00000744_006,0,7
00000744_010,7,10
00000745_000,7,10
00000754_003,0,7
00000756_001,7,10
00000756_002,0,7
00000756_003,0,7
00000758_003,0,7
00000761_000,7,10
00000761_001,0,7
00000761_002,7,10
00000761_006,10,0
00000761_010,0,7
00000761_011,7,10
00000766_004,0,7
00000766_006,7,10
00000766_007,7,10
00000766_010,7,10
00000766_011,7,10
00000766_013,7,10
00000766_014,7,10
00000766_016,7,10
00000766_017,7,10
00000766_018,7,10
00000766_019,0,7
00000766_027,7,10
00000771_001,0,7
00000773_001,0,7
00000774_001,0,7
00000780_000,7,10
00000785_000,0,7
00000787_002,10,0
00000790_000,7,10
00000797_005,0,7
00000798_001,10,0
00000798_005,7,10
00000798_022,7,10
00000798_028,7,10
00000798_029,7,10
00000798_032,7,10
00000798_034,7,10
00000798_036,7,10
00000798_037,7,10
00000798_039,7,10
00000800_000,0,7
00000800_001,7,10
00000808_001,0,7
00000808_002,0,7
00000814_001,10,0
00000814_002,7,10
00000814_004,7,10
00000814_005,7,10
00000814_006,0,7
00000814_008,7,10
00000816_000,0,7
00000816_001,0,7
00000820_024,7,10
00000820_031,7,10
00000823_000,7,10
00000823_001,0,7
00000823_002,0,7
00000823_003,0,7
00000823_005,10,0
00000825_003,10,0
00000827_007,0,7
00000827_008,7,10
00000827_014,0,7
00000827_016,0,7
00000827_018,7,10
00000827_019,0,7
00000827_021,7,10
00000828_000,0,7
00000830_000,0,7
00000830_001,0,7
00000830_003,0,7
00000831_001,0,7
00000832_000,0,7
00000837_000,10,0
00000845_000,10,0
00000845_001,7,10
00000847_002,0,7
00000848_000,7,10
00000852_000,0,7
00000856_000,7,10
00000859_001,0,7
00000861_001,0,7
00000861_002,0,7
00000864_000,10,0
00000865_003,0,7
00000865_006,0,7
00000865_007,0,7
00000865_009,0,7
00000865_011,0,7
00000869_002,0,7
00000869_003,0,7
00000869_007,0,7
00000869_008,0,7
00000870_001,7,10
00000870_004,7,10
00000870_011,0,7
00000870_012,7,10
00000870_013,0,7
00000877_000,0,7
00000877_003,0,7
00000877_004,0,7
00000877_005,0,7
00000877_008,0,7
00000877_009,0,7
00000877_025,0,7
00000877_030,7,10
00000877_035,0,7
00000877_036,0,7
00000877_037,0,7
00000882_002,0,7
00000882_003,0,7
00000897_000,7,10
00000897_001,10,0
00000902_001,0,7
00000902_003,0,7
00000910_001,0,7
00000912_001,0,7
00000920_000,0,7
00000920_001,7,10
00000927_004,7,10
00000932_000,7,10
00000934_000,0,7
00000937_002,0,7
00000937_003,0,7
00000938_003,7,10
00000938_004,0,7
00000938_005,0,7
00000938_006,0,7
00000948_000,10,0
00000949_005,7,10
00000954_006,0,7
00000955_002,0,7
00000957_001,0,7
00000957_002,0,7
00000961_000,10,0
00000963_010,7,10
00000963_011,0,7
00000963_012,0,7
00000963_013,0,7
00000963_020,7,10
00000963_023,7,10
00000963_024,7,10
00000963_025,7,10
00000963_026,7,10
00000968_000,10,0
00000979_006,0,7
00000979_007,7,10
00000979_008,7,10
00000998_000,0,7
00000999_000,0,7
00001001_003,0,7
00001006_004,0,7
00001022_001,10,0
00001026_000,0,7
00001028_000,0,7
00001031_001,7,10
00001031_003,7,10
00001054_002,0,7
00001056_000,0,7
00001058_000,0,7
00001075_002,0,7
00001075_007,7,10
00001075_013,0,7
00001075_014,0,7
00001075_016,7,10
00001075_020,0,7
00001075_022,7,10
00001075_026,7,10
00001075_033,7,10
00001075_036,0,7
00001075_038,10,0
00001075_045,10,0
00001075_046,7,10
00001075_047,0,7
00001075_048,0,7
00001082_004,0,7
00001086_000,10,0
00001088_005,0,7
00001088_007,0,7
00001088_008,0,7
00001088_011,0,7
00001088_015,0,7
00001088_016,0,7
00001088_017,0,7
00001088_021,0,7
00001088_022,0,7
00001088_023,0,7
00001088_026,0,7
00001088_027,0,7
00001089_003,0,7
00001092_000,0,7
00001093_002,7,10
00001096_001,7,10
00001097_000,10,0
00001101_003,7,10
00001101_004,7,10
00001101_012,0,7
00001104_005,0,7
00001104_008,0,7
00001104_016,0,7
00001104_019,0,7
00001104_022,7,10
00001107_008,0,7
00001108_001,0,7
00001108_003,7,10
00001108_004,0,7
00001122_004,0,7
00001122_005,0,7
00001122_006,0,7
00001122_007,0,7
00001122_016,10,0
00001140_000,0,7
00001140_001,0,7
00001140_005,0,7
00001142_000,7,10
00001145_001,0,7
00001145_002,7,10
00001151_004,7,10
00001151_005,0,7
00001152_001,0,7
00001152_002,0,7
00001153_004,0,7
00001153_005,7,10
00001157_001,10,0
00001157_005,7,10
00001158_002,0,7
00001170_016,7,10
00001170_017,0,7
00001170_019,0,7
00001170_020,0,7
00001170_021,0,7
00001170_022,0,7
00001170_026,7,10
00001170_027,7,10
00001170_046,0,7
00001187_001,7,10
00001194_002,7,10
00001199_003,0,7
00001199_004,0,7
00001199_005,0,7
00001199_008,0,7
00001200_000,0,7
00001200_003,0,7
00001200_007,0,7
00001200_008,0,7
00001200_009,0,7
00001200_012,7,10
00001200_013,7,10
00001200_014,7,10
00001202_001,7,10
00001202_002,7,10
00001203_010,0,7
00001203_016,0,7
00001206_001,7,10
00001206_003,0,7
00001206_004,7,10
00001206_007,0,7
00001209_001,7,10
00001210_005,7,10
00001220_000,0,7
00001222_009,7,10
00001222_010,7,10
00001226_001,7,10
00001226_002,7,10
00001226_003,7,10
00001226_004,7,10
00001232_000,7,10
00001232_001,7,10
00001232_002,0,7
00001232_003,7,10
00001235_000,7,10
00001235_001,7,10
00001236_000,0,7
00001248_000,7,10
00001248_002,7,10
00001248_003,7,10
00001248_004,7,10
00001248_011,0,7
00001248_016,7,10
00001248_017,7,10
00001248_029,7,10
00001248_030,0,7
00001248_038,0,7
00001249_005,7,10
00001249_009,10,0
00001249_010,10,0
00001250_001,0,7
00001250_002,0,7
00001250_004,0,7
00001251_000,0,7
00001255_025,10,0
00001256_008,0,7
00001256_009,0,7
00001268_000,10,0
00001268_002,0,7
00001268_003,0,7
00001268_004,0,7
00001268_006,0,7
00001270_005,0,7
00001278_001,7,10
00001278_002,0,7
00001278_003,7,10
00001278_008,0,7
00001278_009,7,10
00001278_010,7,10
00001278_011,7,10
00001278_015,0,7
00001278_016,7,10
00001278_018,7,10
00001284_001,7,10
00001286_009,7,10
00001289_000,0,7
00001301_004,0,7
00001301_008,0,7
00001301_009,0,7
00001301_016,7,10
00001301_021,0,7
00001301_023,0,7
00001301_024,0,7
00001301_025,7,10
00001301_026,7,10
00001301_034,0,7
00001301_035,0,7
00001301_036,0,7
00001301_038,7,10
00001301_039,7,10
00001301_040,0,7
00001301_042,0,7
00001301_043,0,7
00001301_044,0,7
00001301_045,7,10
00001301_046,0,7
00001301_047,7,10
00001301_048,0,7
00001307_000,0,7
00001309_001,0,7
00001309_002,7,10
00001315_004,0,7
00001320_003,0,7
00001322_003,7,10
00001322_004,0,7
00001330_000,7,10
00001330_001,10,0
00001330_002,7,10
00001330_004,7,10
00001331_000,0,7
00001343_000,7,10
00001355_002,0,7
00001355_005,10,0
00001360_000,0,7
00001362_003,0,7
00001362_005,0,7
00001362_006,0,7
00001362_015,0,7
00001369_000,10,0
00001373_001,10,0
00001373_002,10,0
00001373_006,10,0
00001373_008,7,10
00001373_009,10,0
00001373_010,7,10
00001373_011,0,7
00001373_012,10,0
00001373_013,10,0
00001373_014,7,10
00001373_015,7,10
00001373_018,0,7
00001373_021,10,0
00001373_022,10,0
00001373_025,10,0
00001373_026,10,0
00001373_030,7,10
00001373_031,7,10
00001373_032,10,0
00001373_033,7,10
00001373_035,7,10
00001373_036,0,7
00001373_037,7,10
00001373_038,7,10
00001373_039,0,7
00001373_040,0,7
00001373_041,7,10
00001373_042,7,10
00001373_044,7,10
00001373_045,7,10
00001373_047,7,10
00001373_048,7,10
00001373_049,7,10
00001373_050,7,10
00001373_051,7,10
00001373_052,7,10
00001373_053,0,7
00001373_054,7,10
00001376_006,7,10
00001376_007,7,10
00001376_010,7,10
00001377_000,0,7
00001377_003,0,7
00001377_004,7,10
00001377_005,7,10
00001384_001,0,7
00001385_004,10,0
00001385_005,7,10
00001385_006,7,10
00001385_009,0,7
00001385_010,0,7
00001385_011,7,10
00001385_012,10,0
00001395_002,0,7
00001395_005,7,10
00001395_008,0,7
00001395_011,0,7
00001395_012,7,10
00001395_013,7,10
00001397_001,7,10
00001397_002,7,10
00001397_008,0,7
00001409_000,0,7
00001409_009,0,7
00001416_001,7,10
00001416_002,7,10
00001432_000,0,7
00001437_001,7,10
00001437_002,7,10
00001437_005,7,10
00001437_012,7,10
00001437_018,7,10
00001437_024,7,10
00001437_039,7,10
00001437_042,0,7
00001437_043,0,7
00001437_044,7,10
00001437_047,0,7
00001439_000,7,10
00001458_001,0,7
00001458_002,7,10
00001459_000,0,7
00001460_002,0,7
00001470_004,7,10
00001470_005,7,10
00001470_006,7,10
00001470_007,7,10
00001473_000,7,10
00001473_001,0,7
00001473_002,7,10
00001473_003,7,10
00001473_004,7,10
00001473_006,10,0
00001475_000,7,10
00001477_000,0,7
00001483_008,7,10
00001483_009,7,10
00001483_010,7,10
00001483_011,7,10
00001483_013,7,10
00001483_014,7,10
00001483_015,7,10
00001483_016,7,10
00001483_019,7,10
00001483_022,7,10
00001483_023,0,7
00001491_001,7,10
00001495_001,7,10
00001501_007,0,7
00001504_015,0,7
00001511_000,0,7
00001511_002,7,10
00001512_002,0,7
00001512_003,0,7
00001517_002,0,7
00001517_003,0,7
00001517_005,0,7
00001520_000,10,0
00001524_000,0,7
00001526_005,7,10
00001526_008,7,10
00001529_001,0,7
00001534_005,10,0
00001534_006,7,10
00001534_009,7,10
00001549_007,0,7
00001549_009,7,10
00001549_011,0,7
00001549_012,0,7
00001549_013,0,7
00001549_015,7,10
00001557_000,0,7
00001558_004,0,7
00001558_005,0,7
00001558_006,0,7
00001558_007,7,10
00001558_008,7,10
00001558_014,7,10
00001558_017,0,7
00001558_018,0,7
00001558_019,0,7
00001558_021,7,10
00001558_022,7,10
00001558_023,7,10
00001558_024,7,10
00001558_025,7,10
00001558_028,0,7
00001558_029,0,7
00001558_030,0,7
00001558_031,0,7
00001558_032,7,10
00001558_033,7,10
00001558_034,0,7
00001558_035,0,7
00001558_036,0,7
00001580_001,7,10
00001582_001,7,10
00001582_006,7,10
00001582_007,7,10
00001582_008,7,10
00001582_009,7,10
00001582_012,10,0
00001582_018,7,10
00001582_020,7,10
00001582_023,0,7
00001582_024,0,7
00001583_000,0,7
00001583_004,7,10
00001583_010,0,7
00001600_000,0,7
00001601_001,0,7
00001601_003,0,7
00001601_007,0,7
00001601_008,7,10
00001601_009,7,10
00001601_011,0,7
00001601_012,0,7
00001601_013,0,7
00001601_014,0,7
00001601_015,0,7
00001606_001,0,7
00001606_002,0,7
00001609_001,0,7
00001609_002,7,10
00001609_003,7,10
00001609_004,7,10
00001616_002,0,7
00001616_006,0,7
00001616_007,7,10
00001616_012,7,10
00001618_001,0,7
00001629_004,7,10
00001629_005,7,10
00001629_006,7,10
00001629_009,0,7
00001629_010,7,10
00001650_011,7,10
00001655_000,0,7
00001673_005,0,7
00001673_008,0,7
00001673_011,0,7
00001673_013,7,10
00001673_016,0,7
00001684_013,7,10
00001684_023,0,7
00001684_024,7,10
00001684_025,0,7
00001684_026,0,7
00001684_027,0,7
00001684_029,0,7
00001684_030,7,10
00001684_031,7,10
00001689_007,7,10
00001691_001,0,7
00001697_005,0,7
00001697_006,7,10
00001697_007,7,10
00001697_008,7,10
00001697_012,7,10
00001698_004,0,7
00001698_005,0,7
00001698_007,0,7
00001698_008,0,7
00001698_009,0,7
00001698_021,7,10
00001700_000,0,7
00001700_004,0,7
00001700_005,0,7
00001700_006,0,7
00001700_007,0,7
00001701_000,0,7
00001706_001,0,7
00001711_000,0,7
00001718_010,0,7
00001719_008,0,7
00001722_005,0,7
00001722_006,0,7
00001723_004,7,10
00001734_000,0,7
00001734_005,0,7
00001734_006,0,7
00001735_004,0,7
00001736_002,0,7
00001736_010,0,7
00001736_013,0,7
00001737_002,7,10
00001737_003,7,10
00001741_000,0,7
00001742_000,7,10
00001755_004,0,7
00001755_005,0,7
00001756_001,0,7
00001770_001,0,7
00001771_002,7,10
00001771_003,7,10
00001775_000,0,7
00001775_001,7,10
00001775_002,7,10
00001775_004,7,10
00001775_005,7,10
00001777_002,10,0
00001782_000,0,7
00001784_000,10,0
00001787_009,7,10
00001796_000,0,7
00001796_001,0,7
00001796_002,0,7
00001796_003,0,7
00001796_004,0,7
00001796_005,0,7
00001796_006,0,7
00001796_007,0,7
00001796_008,0,7
00001796_009,0,7
00001796_010,0,7
00001797_002,0,7
00001803_003,7,10
00001803_007,7,10
00001803_008,0,7
00001803_010,0,7
00001803_019,0,7
00001816_001,7,10
00001818_000,7,10
00001819_001,0,7
00001819_003,0,7
00001819_004,0,7
00001831_000,10,0
00001833_009,7,10
00001836_001,7,10
00001836_004,7,10
00001836_007,7,10
00001836_012,0,7
00001836_018,7,10
00001836_025,0,7
00001836_029,0,7
00001836_031,0,7
00001836_047,0,7
00001836_048,7,10
00001836_049,0,7
00001836_056,0,7
00001836_057,0,7
00001836_068,10,0
00001836_070,7,10
00001836_082,0,7
00001836_099,0,7
00001836_101,0,7
00001836_108,0,7
00001836_113,0,7
00001836_117,0,7
00001836_119,0,7
00001836_120,0,7
00001836_123,0,7
00001841_001,7,10
00001844_000,7,10
00001846_000,0,7
00001847_003,7,10
00001847_004,7,10
00001847_008,7,10
00001847_009,7,10
00001851_004,0,7
00001855_011,7,10
00001855_019,10,0
00001855_022,0,7
00001855_023,0,7
00001855_030,0,7
00001855_031,0,7
00001855_032,0,7
00001855_033,0,7
00001855_034,0,7
00001855_035,0,7
00001862_002,0,7
00001862_003,7,10
00001862_004,0,7
00001866_000,7,10
00001866_001,7,10
00001868_000,10,0
00001872_001,0,7
00001872_002,0,7
00001872_012,0,7
00001882_002,0,7
00001884_003,0,7
00001888_000,0,7
00001890_001,0,7
00001890_002,0,7
00001891_000,0,7
00001894_005,7,10
00001895_001,0,7
00001900_000,0,7
00001900_006,0,7
00001900_009,0,7
00001900_010,0,7
00001900_011,0,7
00001900_012,7,10
00001900_016,0,7
00001900_018,7,10
00001900_023,7,10
00001900_024,0,7
00001900_025,7,10
00001900_026,7,10
00001900_028,7,10
00001900_029,0,7
00001900_030,0,7
00001900_034,7,10
00001900_036,7,10
00001900_037,7,10
00001900_038,7,10
00001911_002,0,7
00001911_003,0,7
00001911_006,0,7
00001911_007,0,7
00001911_011,0,7
00001911_013,7,10
00001911_015,0,7
00001912_000,0,7
00001914_001,0,7
00001917_004,0,7
00001923_000,0,7
00001931_014,7,10
00001931_015,7,10
00001931_016,0,7
00001938_003,7,10
00001940_002,0,7
00001941_007,0,7
00001951_009,0,7
00001952_000,0,7
00001952_005,0,7
00001959_000,10,0
00001962_000,0,7
00001969_003,0,7
00001974_000,7,10
00001974_006,0,7
00001974_009,0,7
00001978_000,0,7
00001982_000,0,7
00001984_012,0,7
00001984_013,0,7
00001984_014,0,7
00001986_008,0,7
00001989_000,0,7
00001989_001,0,7
00001989_005,0,7
00001989_006,0,7
00001989_007,0,7
00001989_009,0,7
00001989_010,0,7
00001989_011,7,10
00001992_005,0,7
00001992_006,7,10
00001992_013,0,7
00001992_014,0,7
00002002_000,0,7
00002003_004,7,10
00002015_007,7,10
00002022_002,0,7
00002022_005,0,7
00002032_002,0,7
00002032_004,0,7
